BUDGET FISCAL YEAR,DEPARTMENT NAME,FUND NAME,ACCOUNT NAME,ADOPTED BUDGET AMOUNT,TOTAL EXPENDITURES,BUDGET CHANGE AMOUNT,BUDGET TRANSFER IN AMOUNT,BUDGET TRANSFER OUT AMOUNT,TOTAL BUDGET,ENCUMBRANCE AMOUNT,PRE-ENCUMBRANCE AMOUNT,BUDGET UNCOMMITTED AMOUNT,ACCOUNT GROUP NAME,FUND,ACCOUNT,DEPARTMENT
2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,PRJ: ARDMORE RECREATION CENTER (S87),0.00,,237563.00,0.00,0.00,237563.00,0.00,0.00,237563.00,SPECIAL,43K,10TPAU,10
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,FERRARO SOCCER FIELDS IMP,0.00,,305000.00,0.00,0.00,305000.00,0.00,0.00,305000.00,,205,88MBIP,88
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,SPECIAL GAS TAX ST IMPROV,ROAD MAINTENANCE AND REHABILITATION PROGRAM SPECIAL FUND,0.00,77000.00,77000.00,0.00,0.00,77000.00,0.00,0.00,0.00,,206,50T59V,50
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,HOUSING OPPOR FOR PERSON W/AID,OUTSIDE AUDITOR,90000.00,,0.00,0.00,0.00,90000.00,0.00,0.00,90000.00,SPECIAL,569,43T644,43
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,AFFORDABLE HOUSING AND SUSTAINABLE COMMUNITIES GRANT,WEINGART TOWER,0.00,,6000000.00,0.00,0.00,6000000.00,0.00,0.00,6000000.00,,60V,43T877,43
2021,TRANSPORTATION,SPECIAL PARKING REVENUE,GENERAL SERVICES,0.00,604313.69,2184544.32,0.00,0.00,2184544.32,0.00,0.00,1580230.63,,363,94T140,94
2021,NON-DEPARTMENTAL - GENERAL,RESERVE,AVAILABLE - DEPT OF DISABILITY,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,101,621065,62
2021,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,GENERAL FUND (GENERAL BUDGET),CIVILIAN FLEX PROGRAM,312546518.00,308626887.80,0.00,0.00,2969630.00,309576888.00,0.00,0.00,950000.20,SPECIAL,100,009200,61
2021,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,"VZ CONTRACTS, SPEED SURVEYS, OUTREACH",0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,51Q,94TM07,94
2021,COUNCIL,GENERAL FUND (GENERAL BUDGET),CONTINGENT EXPENSE,62503.00,38735.52,204825.62,27855.00,0.00,295183.62,0.00,0.00,256448.10,EXPENSES,100,004620,28
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,ROAD MAINTENANCE AND REHABILITATION PROGRAM SPECIAL FUND,OLYMPIC BLVD-LAKE ST TO WESTERN AVE CIP/STP,400000.00,,0.00,0.00,0.00,400000.00,0.00,0.00,400000.00,,59V,50TVFP,50
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,COMMUNITY DEVELOPMENT TRUST,GRID 110,0.00,,376180.00,0.00,0.00,376180.00,0.00,0.00,376180.00,,424,43T260,43
2021,LIBRARY,LIBRARY,VARIOUS SPECIAL,79799897.00,60166174.75,209780.00,0.00,75001.00,79934676.00,5038582.40,0.00,14729918.85,SPECIAL,300,009510,44
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,RANCHO CIENEGA SPORTS CTR,0.00,,61745.74,0.00,0.00,61745.74,0.00,0.00,61745.74,,205,88580L,88
2021,CITY ATTORNEY,CITY ATTORNEY GRANTS,POLICE,0.00,,299016.00,0.00,0.00,299016.00,0.00,0.00,299016.00,,368,12T170,12
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WW SYST COMM PAPER A CONST FND,HWRP WASTE ACTIVATED SLUDGE THICKENING CENTRIFUGE REPLACEMNT,7375000.00,,-7375000.00,0.00,0.00,0.00,0.00,0.00,0.00,,70W,50TDR5,50
2021,AGING,AREA PLAN FOR THE AGING TIT 7,FAMILY CAREGIVER SUPPORT PROGRAM III E,0.00,558904.00,937723.00,0.00,0.00,937723.00,378819.00,0.00,0.00,,395,02TA09,2
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WSRB DEBT SERVICE FD 2005-A,INTEREST EXPENSE,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,W51,508210,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,MICLA LEASE REV COM PAPER NTES,SOUTH EAST YARD FIRE DAMAGED BUILDING,0.00,,1747228.42,0.00,0.00,1747228.42,0.00,0.00,1747228.42,,298,50TSEY,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WW SYST COMM PAPER B CONST FND,BUREAU OF ENGINEERING,0.00,9972246.00,9972246.00,0.00,0.00,9972246.00,0.00,0.00,0.00,,70X,50T178,50
2021,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,IRS SEC501 EMPLOYEE BENEF TRUS,PROVIDERS ADJUSTMENT TO EMPLOYEES,0.00,130003.64,299353.87,0.00,0.00,299353.87,0.00,0.00,169350.23,,899,617900,61
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,ST DAMAGE RESTORATION FEE SPEC,FAILED STREET RECONSTRUCTION,1584304.00,,0.00,0.00,0.00,1584304.00,0.00,0.00,1584304.00,SPECIAL,41A,50TC91,50
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,RECREATION AND PARKS,GENERAL CAPITAL,0.00,90516.91,21300164.94,0.00,0.00,21300164.94,79173.45,0.00,21130474.58,,302,89270K,89
2021,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,EL PUEBLO DE LA HISTOR MONUMEN,GENERAL SERVICES,1777950.00,1777950.00,0.00,0.00,0.00,1777950.00,0.00,0.00,0.00,,737,33140T,33
2021,WATER AND POWER,"WATER SYSTEM REVENUE BONDS 2018 SERIES B, BOND SERVICE FUND",RETIREMENT OF PRINCIPAL,0.00,3825000.00,0.00,0.00,0.00,0.00,0.00,0.00,-3825000.00,,M2B,988110,98
2021,PENSION,FIRE & POLICE TIER 2 GENERAL P,TUITION REIMBURSEMENT,3000.00,2605.43,0.00,0.00,0.00,3000.00,0.00,0.00,394.57,,804,649570,64
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"MICLA LEASE REVENUE COMMERCIAL PAPER NOTES, TAXABLE B-1",REIMBURSEMENT OF GENERAL FUND COSTS,0.00,,225333.00,0.00,0.00,225333.00,0.00,0.00,225333.00,,29B,50T299,50
2021,CONTROLLER,GENERAL FUND (GENERAL BUDGET),CONTINGENT EXPENSE,5000.00,703.43,0.00,0.00,0.00,5000.00,0.00,0.00,4296.57,EXPENSES,100,004620,26
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,ROAD MAINTENANCE AND REHABILITATION PROGRAM SPECIAL FUND,FAILED STREET RECONSTRUCTION,3512623.00,,0.00,0.00,0.00,3512623.00,0.00,0.00,3512623.00,SPECIAL,59V,50TC91,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,SPECIAL GAS TAX ST IMPROV,ST LIGHTING ASSESSMENT FUND,0.00,800000.00,800000.00,0.00,0.00,800000.00,0.00,0.00,0.00,,206,50T347,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,MULTI-FAMILY BULKY ITEM FEE,GENERAL CITY PURPOSES,200000.00,,-200000.00,0.00,0.00,0.00,0.00,0.00,0.00,,50D,50T156,50
2021,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2018 SERIES A, BOND SERVICE FUND",RETIREMENT OF PRINCIPAL,0.00,4485000.00,0.00,0.00,0.00,0.00,0.00,0.00,-4485000.00,,J7M,988110,98
2021,LIBRARY,LIBRARY TRUST,GENERAL SERVICES,0.00,191609.00,191609.00,0.00,0.00,191609.00,0.00,0.00,0.00,,831,44140T,44
2021,CITY CLERK,WESTCHESTER BUS IMPROV DIST,RECOVERY COSTS,0.00,10006.05,10006.05,0.00,0.00,10006.05,0.00,0.00,0.00,,49X,140299,14
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,CENTRAL LA RECYCLING TRFR STAT,GENERAL SERVICES,0.00,2879.00,2879.00,0.00,0.00,2879.00,0.00,0.00,0.00,,47R,50T140,50
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,EWDD SUMMER YOUTH PROGRAM-OTHER SOURCES FUND,CITIBANK SUMMER YOUTH PROGRAM,0.00,76045.09,250458.00,0.00,0.00,250458.00,162204.91,0.00,12208.00,,56L,22T646,22
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,SEWER OPERATIONS & MAINTENANCE,GSD-EXPENSE & EQUIPMENT,2736500.00,2238513.21,0.00,0.00,0.00,2736500.00,72986.79,0.00,425000.00,,760,50TX40,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"WSSRB CONSTRUCTION FUND, SERIES 2018-A (GREEN BONDS)",HWRP BIOSOLIDS TRUCK LOADING FAC FAN & DUCTING INSTALLATION,0.00,,269000.00,0.00,0.00,269000.00,0.00,269000.00,0.00,,75R,50TDAO,50
2021,BUILDING AND SAFETY,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,2052820.00,1512822.45,25389.00,0.00,25000.00,2053209.00,0.00,0.00,540386.55,EXPENSES,100,003310,8
2021,FIRE,MICLA LEASE REV COM PAPER NTES,FLEET REPLACEMENT,0.00,,13578760.00,0.00,0.00,13578760.00,3840136.21,0.00,9738623.79,,298,38T300,38
2021,GENERAL SERVICES,MICLA LEASE REV COM PAPER NTES,CAPITAL PROGRAM - ZOO,0.00,,250000.00,0.00,0.00,250000.00,0.00,0.00,250000.00,,298,40T25K,40
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,CENTRAL LA RECYCLING TRFR STAT,CLARTS COMMUNITY AMENITIES,300000.00,300000.00,0.00,0.00,0.00,300000.00,0.00,0.00,0.00,SPECIAL,47R,50T47S,50
2021,TRANSPORTATION,PERMIT PARKING PROG REV FD,BUREAU OF STREET LIGHTING,0.00,72000.00,72000.00,0.00,0.00,72000.00,0.00,0.00,0.00,,49C,94T184,94
2021,BUILDING AND SAFETY,REPAIR & DEMOLITION,REIMBURSEMENT OF GENERAL FUND COSTS,218360.00,,-218360.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,346,08299T,8
2021,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,18721025.00,11326065.22,0.00,900000.00,173166.33,19447858.67,5215297.30,2500000.00,405487.38,EXPENSES,100,003040,94
2021,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,CITYRIDE FARE CARD,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,385,94T462,94
2021,MAYOR,FY16 CCTA GRANT FUND,MAYOR,0.00,,18760.20,0.00,0.00,18760.20,0.00,0.00,18760.20,,60H,46T146,46
2021,BUILDING AND SAFETY,DEVELOPMENT SERVICES TRUST FUND,DSC PLEXIGLASS MODIFICATIONS - ENGINEERING,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,58V,08T778,8
2021,CITY CLERK,COUNCIL DIST 5 REAL PROP TRUST,ECONOMIC DEVELOPMENT TRUST FUND,0.00,75000.00,75000.00,0.00,0.00,75000.00,0.00,0.00,0.00,,687,14T62L,14
2021,PERSONNEL,GENERAL FUND (GENERAL BUDGET),OFFICE AND ADMINISTRATIVE,1504991.00,793027.45,0.00,53176.42,64640.53,1493526.89,497831.70,6137.30,196509.57,EXPENSES,100,006010,66
2021,RECREATION AND PARKS,RECREATION AND PARKS,OVERTIME HIRING HALL,0.00,2550.36,5000.00,0.00,0.00,5000.00,0.00,0.00,2449.64,SALARIES AND BENEFITS,302,001190,88
2021,POLICE,US DEPT OF JUSTICE ASSET FORFE,MULTI-DISCIPLINE COLLISION INVESTIGATION EQUIPMENT,121371.00,,0.00,0.00,0.00,121371.00,0.00,0.00,121371.00,SPECIAL,44D,70T543,70
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,LA COUNTY DEPARTMENT OF PROBATION GRANTS,PERSONNEL,0.00,,3730.00,0.00,0.00,3730.00,0.00,0.00,3730.00,,60A,22T166,22
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,RECREATION AND PARKS,OBSERVATORY MASTER PLAN,0.00,,236895.79,0.00,0.00,236895.79,0.00,0.00,236895.79,,302,89610K,89
2021,CULTURAL AFFAIRS,GENERAL FUND (GENERAL BUDGET),CITYWIDE MURAL ART PROGRAM,0.00,4830.00,0.00,100000.00,0.00,100000.00,0.00,0.00,95170.00,SPECIAL,100,009856,30
2021,CITY CLERK,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,6500.00,5250.00,0.00,0.00,0.00,6500.00,0.00,0.00,1250.00,EXPENSES,100,003310,14
2021,COUNCIL,GENERAL FUND (GENERAL BUDGET),"LEGISLATIVE, ECONOMIC OR GOVT. PURPOSES",24186.00,14204.18,8445.09,0.00,0.00,32631.09,2824.06,0.00,15602.85,EXPENSES,100,004140,28
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,SPECIAL GAS TAX ST IMPROV,TRANSPORTATION,4008334.00,3674306.13,-45359.00,0.00,0.00,3962975.00,0.00,0.00,288668.87,,206,50T194,50
2021,CONTROLLER,LOCAL PUBLIC SAFETY FUND,POLICE,38046000.00,35918333.27,0.00,0.00,0.00,38046000.00,0.00,0.00,2127666.73,,574,26T170,26
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,RECREATION AND PARKS,EXPO CENTER DONATION,0.00,14190.70,154640.53,0.00,0.00,154640.53,0.00,0.00,140449.83,,302,89837M,89
2021,AIRPORTS,AIRPORT REVENUE,OVERTIME GENERAL,0.00,11984738.12,0.00,0.00,0.00,0.00,0.00,0.00,-11984738.12,,700,041090,4
2021,CITY ATTORNEY,LEGAL FEES REIMBURSEMENT SPECIAL FUND,WEST YUCCA PROJECT,0.00,886.78,68093.87,0.00,0.00,68093.87,67207.09,0.00,-0.00,,57H,123B4T,12
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,LA COUNTY YOUTH JOB PROGRAM,LA COUNTY YOUTH@WORK-CALWORKS,0.00,676199.48,3732000.00,0.00,0.00,3732000.00,1496155.52,0.00,1559645.00,,56E,22T864,22
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,ENERGY REBATES,0.00,,48680.26,0.00,0.00,48680.26,0.00,0.00,48680.26,,205,88AM04,88
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,HOME INVESTMENT PARTSHIP PROGR,REIMBURSEMENT OF GENERAL FUND COSTS,2368510.00,1485021.54,-5553.00,0.00,0.00,2362957.00,0.00,0.00,877935.46,,561,43T299,43
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,RANCHO CIENEGA SPORTS CENTER-,0.00,,86177.95,0.00,0.00,86177.95,0.00,0.00,86177.95,,205,88210G,88
2021,OFFICE OF FINANCE,GOB REFUNDNG SER2011B DEBT SER,GOB SER - PRINCIPAL,32590000.00,32590000.00,0.00,0.00,0.00,32590000.00,0.00,0.00,0.00,,A70,398110,39
2021,MAYOR,2015 CALGRIP GRANT FUND,MAYOR,0.00,,41651.93,0.00,0.00,41651.93,0.00,0.00,41651.93,,57M,46T146,46
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,VALLEY REGION HEADQUARTERS,0.00,,171.33,0.00,0.00,171.33,0.00,0.00,171.33,,205,88CD11,88
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WW SYST COMM PAPER A CONST FND,SSRP DAR 06 N/E LOS ANGELES,5228000.00,,-5228000.00,0.00,0.00,0.00,0.00,0.00,0.00,,70W,50TAJD,50
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,403379.00,187498.17,112958.00,12924.00,60000.00,469261.00,0.00,0.00,281762.83,SALARIES AND BENEFITS,100,001070,22
2021,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,27673310.00,14483957.71,0.00,0.00,0.00,27673310.00,10074083.24,0.00,2022551.25,EXPENSES,100,003040,61
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WW SYST COMM PAPER A CONST FND,HWRP SECONDARY CLARIFIER MODULES 1-5 UPGRADE,0.00,2098254.46,8105352.15,0.00,0.00,8105352.15,31745.54,0.00,5975352.15,,70W,50TDS6,50
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,HIGH RISK/HIGH NEED SERVICES PROGRAM FUND,REIMBURSEMENT OF GENERAL FUND COSTS,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,45D,22T299,22
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,RECREATION AND PARKS,COMPUTER SYSTEM DEVELOPMENT,0.00,516392.36,1583832.12,0.00,0.00,1583832.12,563635.24,0.00,503804.52,,302,89712H,89
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,EL SERENO NORTH R/R UDAG,0.00,,29868.88,0.00,0.00,29868.88,0.00,0.00,29868.88,,205,88011R,88
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,BRIDGE IMPROVEMENT PROGRAM CASH FLOW FUND,TRANSPORTATION,0.00,17366.70,17366.70,0.00,0.00,17366.70,0.00,0.00,0.00,,57Q,50T194,50
2021,PENSION,FIRE & POLICE TIER 2 GENERAL P,CONTRACTUAL,3955383.00,2111927.00,0.00,0.00,0.00,3955383.00,1264599.35,0.00,578856.65,,804,643040,64
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,VENICE PIER ENG FEACIBILITY,0.00,,1488.00,0.00,0.00,1488.00,0.00,0.00,1488.00,,205,88240J,88
2021,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,GENERAL FUND (GENERAL BUDGET),CD 13 COUNCIL FEE SUBSIDY ACCT,32700.00,4324.41,9077.75,0.00,0.00,41777.75,0.00,0.00,37453.34,SPECIAL,100,000870,56
2021,NON-DEPARTMENTAL - UNAPPROPRIATED BALANCE,GENERAL FUND (GENERAL BUDGET),PERSONNEL RELATED CYBERSECURITY MEASURES,300000.00,,0.00,0.00,0.00,300000.00,0.00,0.00,300000.00,SPECIAL,100,580312,58
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,VARIOUS CITY PARK SITES-PARK D,0.00,,30393.34,0.00,0.00,30393.34,0.00,0.00,30393.34,,205,88TN4L,88
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,RECREATION AND PARKS,PARTNERSHIP-DONATIONS AND GIFTS,0.00,,6103.71,0.00,0.00,6103.71,0.00,0.00,6103.71,,302,89708H,89
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,SEWER CONSTRUCTION&MAINTENANCE,SEWER CAPITAL FUND TRANSFER,0.00,136964000.00,200129887.00,0.00,0.00,200129887.00,0.00,0.00,63165887.00,,208,500060,50
2021,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,GENERAL FUND (GENERAL BUDGET),SIXTH ST VIADUCT -REPLACEMENT PROJ SUPPLMNTAL CONST FUNDING,2200000.00,22768.49,-1132096.40,0.00,0.00,1067903.60,0.00,0.00,1045135.11,SPECIAL,100,00T690,54
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,VENICE AREA SURP REAL PROPERTY,HCID GENERAL FUND PROGRAM,0.00,190000.00,190000.00,0.00,0.00,190000.00,0.00,0.00,0.00,,434,50T10A,50
2021,COUNCIL,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,16846364.00,6881484.85,8158196.96,80000.00,5927255.00,19157305.96,0.00,0.00,12275821.11,SALARIES AND BENEFITS,100,001010,28
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,MULTI-FAMILY BULKY ITEM FEE,INFORMATION TECHNOLOGY AGENCY,9232.00,9232.00,0.00,0.00,0.00,9232.00,0.00,0.00,0.00,,50D,50T132,50
2021,MAYOR,FY20 UASI HOMELAND SECURITY GRANT FUND,PARTNER JURISDICTION,0.00,,32629255.00,0.00,0.00,32629255.00,0.00,0.00,32629255.00,,64E,46T668,46
2021,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,SENIOR CITYRIDE PROGRAM,3708000.00,3221948.00,0.00,0.00,0.00,3708000.00,0.00,0.00,486052.00,,385,94T599,94
2021,PUBLIC WORKS - STREET LIGHTING,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,26669832.00,27769686.50,1935485.83,0.00,223667.00,28381650.83,0.00,0.00,611964.33,SALARIES AND BENEFITS,100,001010,84
2021,INFORMATION TECHNOLOGY AGENCY,GENERAL FUND (GENERAL BUDGET),OVERTIME HIRING HALL,20000.00,18337.06,37533.00,154000.00,0.00,211533.00,0.00,0.00,193195.94,SALARIES AND BENEFITS,100,001190,32
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,GOB 2011A CLEAN WATER CLEANUP,MACHADO LAKE PROJECT-OPTIMIZATION PHASE,0.00,,4180000.00,0.00,0.00,4180000.00,0.00,0.00,4180000.00,,16V,50TYAH,50
2021,CITY PLANNING,PLANNING LONG-RANGE PLAN SPREV,TRANSPORTATION,279681.00,209760.75,0.00,0.00,0.00,279681.00,0.00,0.00,69920.25,,52F,68194T,68
2021,OFFICE OF FINANCE,"GOB REFUNDING SERIES 2017-B (TAX-EXEMPT), DEBT SERVICE FUND",GOB SER - PRINCIPAL,11460000.00,11460000.00,0.00,0.00,0.00,11460000.00,0.00,0.00,0.00,,A74,398110,39
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,WORKFORCE INNOVATION OPPORTUNITY ACT,MAYOR,73447.00,,399914.47,0.00,0.00,473361.47,0.00,0.00,473361.47,,57W,22T146,22
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,BUREAU OF STREET SERVICES TRANSACTION FUND,UNAPPROPRIATED BALANCE,0.00,5000000.00,5000000.00,0.00,0.00,5000000.00,0.00,0.00,0.00,,64C,50T158,50
2021,TRANSPORTATION,SPECIAL PARKING REVENUE,TRANSP GRT FUND WORK PROGRAM,0.00,218000.00,218000.00,0.00,0.00,218000.00,0.00,0.00,0.00,,363,94T655,94
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,MULTI-FAMILY BULKY ITEM FEE,RATE STABILIZATION RESERVE,3431250.00,,0.00,0.00,0.00,3431250.00,0.00,0.00,3431250.00,SPECIAL,50D,50T901,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,CENTRAL LA RECYCLING TRFR STAT,REIMBURSEMENT OF GENERAL FUND COSTS,961674.00,961674.00,0.00,0.00,0.00,961674.00,0.00,0.00,0.00,,47R,50T299,50
2021,POLICE,GENERAL FUND (GENERAL BUDGET),TRAVEL,607750.00,181971.81,0.00,50000.00,0.00,657750.00,73806.37,0.00,401971.82,EXPENSES,100,002130,70
2021,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,GENERAL FUND (GENERAL BUDGET),CD 3 COUNCIL FEE SUBSIDY ACCT,32700.00,,131663.33,0.00,0.00,164363.33,0.00,0.00,164363.33,SPECIAL,100,000860,56
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,COMMUNITY PARKS ENHANCEMENTS,0.00,338559.25,10265998.26,0.00,0.00,10265998.26,163159.76,0.00,9764279.25,,205,88NMAH,88
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,RECREATION AND PARKS GOLF SPE,CAPITAL IMPROVEMENT,0.00,1226771.18,3462852.80,0.00,0.00,3462852.80,160925.88,0.00,2075155.74,,52H,89G402,89
2021,CITY ADMINISTRATIVE OFFICER,INSURANCE PREMIUMS SPECIAL FD,INSURANCE AND BONDS PREMIUMS,4000000.00,4413022.20,1000000.00,0.00,0.00,5000000.00,586977.80,0.00,0.00,,46S,100230,10
2021,NON-DEPARTMENTAL - WATER AND ELECTRICITY,GENERAL FUND (GENERAL BUDGET),STREET LIGHTING GENERAL BENEFIT,2273090.00,1650823.97,0.00,0.00,0.00,2273090.00,56176.03,0.00,566090.00,SPECIAL,100,000023,60
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"GOB SERIES 2018-A (TAXABLE), PROP HHH CONSTRUCTION FUND",TEMPLE VIEW,0.00,366993.09,366993.09,0.00,0.00,366993.09,0.00,0.00,0.00,,17C,43T933,43
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,LOW AND MODERATE INCOME HOUSING FUND,CITY ATTORNEY,84838.00,84838.00,0.00,0.00,0.00,84838.00,0.00,0.00,0.00,,55J,43T112,43
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,CITYWIDE RECYCLING TRUST FUND,COMMERCIAL RECYCLING DEVELOPMENT AND CAPITAL COSTS,200000.00,,0.00,0.00,0.00,200000.00,0.00,0.00,200000.00,SPECIAL,46D,50TTCR,50
2021,LIBRARY,LIBRARY,TRANSPORTATION EQUIPMENT,50000.00,,0.00,0.00,0.00,50000.00,0.00,0.00,50000.00,EQUIPMENT,300,007340,44
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,SYSTEMATIC CODE ENFORCEMNT FEE,SERVICE DELIVERY,37500.00,7742.50,0.00,0.00,0.00,37500.00,29757.50,0.00,0.00,SPECIAL,41M,43T412,43
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,HCID GENERAL FUND PROGRAM,HOMELESS MANAGEMENT INFO SYSTEM (HMIS),0.00,212014.87,455888.00,0.00,0.00,455888.00,243873.13,0.00,0.00,,10A,43T475,43
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,LIBBIT AVE.PARK-PARK DEVELOP,0.00,,71033.94,0.00,0.00,71033.94,0.00,0.00,71033.94,,205,88270J,88
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,HCID GENERAL FUND PROGRAM,COC PLANNING PROGRAM GRANT MATCH,0.00,37990.63,156250.00,0.00,0.00,156250.00,118259.37,0.00,0.00,,10A,43T685,43
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,COMMUNITY DEVELOPMENT TRUST,REIMBURSEMENTS OF GENERAL FUND COSTS - CITY ATTY,0.00,49680.47,287457.00,0.00,0.00,287457.00,0.00,0.00,237776.53,,424,43T291,43
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,SPECIAL GAS TAX ST IMPROV,BUREAU OF CONTRACT ADMINISTRATION,411807.00,377489.75,-12354.00,0.00,0.00,399453.00,0.00,0.00,21963.25,,206,50T176,50
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,HUD CONNECTIONS GRANT,CARES ACT - PROGRAM,0.00,36835.02,157388.00,0.00,0.00,157388.00,120552.98,0.00,0.00,,47X,43T911,43
